location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
9466,"Civic","pm10",20.59,"µg/m³","2025-10-01T01:00:00Z","2025-10-01T11:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
9466,"Civic","pm10",21.45,"µg/m³","2025-10-01T02:00:00Z","2025-10-01T12:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
9466,"Civic","pm10",22.24,"µg/m³","2025-10-01T03:00:00Z","2025-10-01T13:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
9466,"Civic","pm10",22.95,"µg/m³","2025-10-01T04:00:00Z","2025-10-01T14:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
9466,"Civic","pm10",23.7,"µg/m³","2025-10-01T05:00:00Z","2025-10-01T15:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
9466,"Civic","pm10",24.49,"µg/m³","2025-10-01T06:00:00Z","2025-10-01T16:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
9466,"Civic","pm10",25.05,"µg/m³","2025-10-01T07:00:00Z","2025-10-01T17:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
9466,"Civic","pm10",25.35,"µg/m³","2025-10-01T08:00:00Z","2025-10-01T18:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
9466,"Civic","pm10",25.37,"µg/m³","2025-10-01T09:00:00Z","2025-10-01T19:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
9466,"Civic","pm10",24.98,"µg/m³","2025-10-01T10:00:00Z","2025-10-01T20:00:00+10:00","Australia/Sydney",-35.285307,149.131579,,,,"Unknown Governmental Organization","Australia - ACT"
